listener,listener_trial,mturk_worker,mturk_trial,level_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity,difficulty_matched_subset,distance_matched_subset,excitation_matched_subset,proportion_judged_louder
10,77,92,46,1,ringtone,very-very-faint--[ossibly-water-dripping,whale call,0,3,0,0,0,0
10,77,236,31,1,ringtone,very-very-faint--[ossibly-water-dripping,wind,0,3,0,0,0,0
10,78,76,50,2,scrubbing dishes,scratching-of-charcoal-crayon-on-rough-paper,walking on leaves,0,2,0,0,0,0.4
10,78,173,35,2,scrubbing dishes,scratching-of-charcoal-crayon-on-rough-paper,crumpling paper,0,2,0,0,0,0.4
10,79,106,22,1,camera turning on,faint-tapping-noise,air hockey,0,low-intensity,1,0,1,0.6
10,79,196,42,1,camera turning on,faint-tapping-noise,applause,0,low-intensity,1,0,1,0.6
10,80,118,34,2,Indian,woman-speaking-very-faintly-in-a-foreign-language,Indian,1,2,0,0,0,0.6
10,80,252,36,2,Indian,woman-speaking-very-faintly-in-a-foreign-language,Indian,1,2,0,0,0,0.6
10,81,123,41,5,cello,musical-notes-on-a-cello,cello,1,3,0,0,0,0.6
10,81,200,41,5,cello,musical-notes-on-a-cello,cello,1,3,0,0,0,0.6
10,82,134,6,1,film reel,faint-nature-noise--possibly-insects,film reel,0.5,3,0,0,0,0.2
10,82,158,24,1,film reel,faint-nature-noise--possibly-insects,printing,0.5,3,0,0,0,0.2
10,83,119,18,6,whistling,man-whistling,whistling,1,2,0,0,0,0.6
10,83,237,49,6,whistling,man-whistling,whistling,1,2,0,0,0,0.6
10,84,135,10,7,marching,dog-barking-very-close-to-a-tape-recorder,radar beeps,0,3,0,1,0,0.8
10,84,150,32,7,marching,dog-barking-very-close-to-a-tape-recorder,shouting,0,3,0,1,0,0.8
10,85,100,44,2,witch cackle,high-pitched-laughing--possibly-of-a-doll,witch cackle,1,high-intensity,1,0,1,0.6
10,85,248,31,2,witch cackle,high-pitched-laughing--possibly-of-a-doll,witch cackle,1,high-intensity,1,0,1,0.6
10,86,132,34,1,rattlesnake,sound-of-a-wheel-spinning,traffic noises,0,2,0,1,0,0.8
10,86,159,15,1,rattlesnake,sound-of-a-wheel-spinning,film reel,0,2,0,1,0,0.8
10,87,137,7,3,crying,woman-sobbing,crying,1,high-intensity,0,1,1,0.4
10,87,198,39,3,crying,woman-sobbing,crying,1,high-intensity,0,1,1,0.4
10,88,124,33,1,seagulls,faint-nature-noise--distant-herons,seagulls,1,3,0,0,0,0.4
10,88,160,35,1,seagulls,faint-nature-noise--distant-herons,seagulls,1,3,0,0,0,0.4
10,89,70,41,2,sword fighting,slight-metallic-noise--tiny-bars-of-metal-being-dropped,sword fighting,1,3,0,0,0,0.4
10,89,249,20,2,sword fighting,slight-metallic-noise--tiny-bars-of-metal-being-dropped,sword fighting,1,3,0,0,0,0.4
10,90,67,28,6,car crash,something-fragile-being-broken--possible-being-hit-by-a-truck--or-falling-from-a-car,car crash,1,high-intensity,1,0,1,0.2
10,90,240,13,6,car crash,something-fragile-being-broken--possible-being-hit-by-a-truck--or-falling-from-a-car,car crash,1,high-intensity,1,0,1,0.2
10,91,104,15,7,gong,large-bronze-gong-being-struck,gong,1,high-intensity,0,0,0,0.4
10,91,180,44,7,gong,large-bronze-gong-being-struck,gong,1,high-intensity,0,0,0,0.4
10,92,93,7,2,nose blowing,faint-musical-notes-on-a-string-instrument--possibly-a-bass,harp,0,3,0,0,0,0.2
