listener,listener_trial,mturk_worker,mturk_trial,level_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity,difficulty_matched_subset,distance_matched_subset,excitation_matched_subset,proportion_judged_louder
20,215,74,20,2,train passing by,cars-in-distance,race car,0,high-intensity,1,0,1,0.2
20,215,252,27,2,train passing by,cars-in-distance,bus decelerating,0,high-intensity,1,0,1,0.2
20,216,85,44,6,school hallway,children-speaking,school hallway,1,high-intensity,1,0,1,0.4
20,216,195,16,6,school hallway,children-speaking,school hallway,1,high-intensity,1,0,1,0.4
20,218,89,30,2,drum solo,drum-solo,drum solo,1,high-intensity,1,0,1,0.6
20,218,153,5,2,drum solo,drum-solo,drum solo,1,high-intensity,1,0,1,0.6
20,219,103,16,2,spray can spraying,dead-air,spray can spraying,0.5,low-intensity,0,0,1,0.2
20,219,157,2,2,spray can spraying,dead-air,rain,0.5,low-intensity,0,0,1,0.2
20,226,100,7,2,music box,xylophone-playing,music box,0.5,low-intensity,1,0,1,0.4
20,226,177,25,2,music box,xylophone-playing,coins dropping,0.5,low-intensity,1,0,1,0.4
20,228,114,46,2,witch cackle,old-lady/-witch-cackle,writing on a chalkboard,0.5,high-intensity,1,0,1,0.4
20,228,215,40,2,witch cackle,old-lady/-witch-cackle,witch cackle,0.5,high-intensity,1,0,1,0.4
20,230,76,14,2,camera turning on,polaroid-camera-pictre,camera turning on,1,low-intensity,1,0,1,0.4
20,230,213,48,2,camera turning on,polaroid-camera-pictre,camera turning on,1,low-intensity,1,0,1,0.4
20,232,45,9,7,match lighting,rain-or-loud-static,shuffling,0,low-intensity,0,0,1,0.8
20,232,112,14,7,match lighting,rain-or-loud-static,water splashing,0,low-intensity,0,0,1,0.8
20,237,59,8,4,drawer opening,something-rolling-back-in-my-metal-desk-drawer,drawer opening,1,low-intensity,0,0,1,0.4
20,237,216,13,4,drawer opening,something-rolling-back-in-my-metal-desk-drawer,drawer opening,1,low-intensity,0,0,1,0.4
20,238,123,42,5,running on sand,walking-through-dense-terrain,running on sand,0.5,low-intensity,1,0,1,0.8
20,238,241,33,5,running on sand,walking-through-dense-terrain,crumpling paper,0.5,low-intensity,1,0,1,0.8
20,244,91,28,4,scream,woman-with-a-shrill-scream,scream,0.5,high-intensity,0,0,1,0.6
20,244,251,40,4,scream,woman-with-a-shrill-scream,whale call,0.5,high-intensity,0,0,1,0.6
20,246,113,14,5,bagpipes,bagpipes,bagpipes,1,high-intensity,0,0,1,0.6
20,246,148,29,5,bagpipes,bagpipes,bagpipes,1,high-intensity,0,0,1,0.6
20,253,113,19,7,flag,loud-static,record scratching,0,low-intensity,0,0,1,0.8
20,253,149,50,7,flag,loud-static,grating food,0,low-intensity,0,0,1,0.8
20,256,69,4,2,wing flapping,erasing-something,dog panting,0.5,low-intensity,0,0,1,0.8
20,256,196,25,2,wing flapping,erasing-something,wing flapping,0.5,low-intensity,0,0,1,0.8
20,262,126,36,6,coin in a vending machine,putting-acoin-in-a-coke-machine,coin in a vending machine,1,low-intensity,1,0,1,0.8
20,262,146,27,6,coin in a vending machine,putting-acoin-in-a-coke-machine,coin in a vending machine,1,low-intensity,1,0,1,0.8
20,264,110,6,3,tooth brushing,brushing-your-teeth,tooth brushing,1,low-intensity,1,0,1,0.6
20,264,202,24,3,tooth brushing,brushing-your-teeth,tooth brushing,1,low-intensity,1,0,1,0.6
20,265,72,3,3,rubbing hands,sanding,dentist drill,0.5,low-intensity,1,0,1,0.4
20,265,176,25,3,rubbing hands,sanding,rubbing hands,0.5,low-intensity,1,0,1,0.4
20,273,69,49,1,blender,sawing-in-background,blender,0.5,high-intensity,1,1,1,0.2
20,273,146,31,1,blender,sawing-in-background,tree falling,0.5,high-intensity,1,1,1,0.2
20,274,107,14,2,hammering a nail,know-on-dor,hammering a nail,0.5,high-intensity,1,0,1,0.4
20,274,214,1,2,hammering a nail,know-on-dor,finger tapping,0.5,high-intensity,1,0,1,0.4
20,277,47,4,5,drum roll,drumroll-please...,drum roll,1,high-intensity,1,0,1,0.4
20,277,92,47,5,drum roll,drumroll-please...,drum roll,1,high-intensity,1,0,1,0.4
20,279,106,41,7,car crash,trash-being-dumped-into-a-landfill,dishes clanking,0,high-intensity,1,0,1,0.2
20,279,169,7,7,car crash,trash-being-dumped-into-a-landfill,shuffling,0,high-intensity,1,0,1,0.2
20,282,61,44,2,newspaper page turning,turning-newspaper-pages,newspaper page turning,1,low-intensity,1,0,1,0.6
20,282,184,48,2,newspaper page turning,turning-newspaper-pages,newspaper page turning,1,low-intensity,1,0,1,0.6
20,284,67,25,7,zipper,chainsaw,sword fighting,0.5,low-intensity,1,0,1,0.6
20,284,223,15,7,zipper,chainsaw,zipper,0.5,low-intensity,1,0,1,0.6
20,285,73,16,1,windup toy,winding-up-something,drinking,0.5,low-intensity,1,0,1,0.4
20,285,235,48,1,windup toy,winding-up-something,windup toy,0.5,low-intensity,1,0,1,0.4
20,287,128,2,5,peeling,scraping,shaving with electric razor,0,low-intensity,0,0,1,0.6
20,287,156,9,5,peeling,scraping,drawer opening,0,low-intensity,0,0,1,0.6
20,292,107,18,1,helicopter,lawnmower-from-like-2-house-over,race car,0.5,high-intensity,1,0,1,0.4
20,292,159,43,1,helicopter,lawnmower-from-like-2-house-over,helicopter,0.5,high-intensity,1,0,1,0.4
21,2,134,43,4,explosion,thunder,explosion,1,high-intensity,1,0,1,0.8
21,2,230,33,4,explosion,thunder,explosion,1,high-intensity,1,0,1,0.8
21,8,92,19,5,truck beeping,truck-in-reverse,truck beeping,1,high-intensity,1,0,1,0.2
