listener,listener_trial,reverb_condition,sound_heard,distance_rating,typical_source_intensity
10,172,reverb,rain,7,high-intensity
10,173,unaltered,cow_mooing,2,high-intensity
10,174,reverb,winding_up_a_device,2,low-intensity
10,175,reverb,cat_purring,6,low-intensity
10,176,unaltered,gunfire,6,high-intensity
10,177,reverb,walking_on_gravel,5,low-intensity
10,178,unaltered,shower,6,high-intensity
10,179,unaltered,dog_panting,2,low-intensity
10,180,reverb,thunder,5,high-intensity
10,181,unaltered,coloring,1,low-intensity
10,182,unaltered,microwave_running,2,low-intensity
10,183,reverb,laughing,6,high-intensity
10,184,unaltered,airhockey,4,high-intensity
10,185,reverb,ballooninflating,7,low-intensity
10,186,reverb,writing_on_a_chalkboard,7,low-intensity
10,187,reverb,running_up_stairs,6,low-intensity
10,188,unaltered,hammering,5,high-intensity
10,189,reverb,bowling_pins_falling,8,high-intensity
10,190,unaltered,running_water,6,low-intensity
10,191,unaltered,rocking_chair,4,high-intensity
10,192,reverb,heart_beat,5,low-intensity
11,1,reverb,crow,4,high-intensity
11,2,unaltered,winding_up_a_device,2,low-intensity
11,3,reverb,shoveling,6,low-intensity
11,4,reverb,whistle,6,high-intensity
11,5,unaltered,spraying,1,low-intensity
11,6,unaltered,car_skidding,5,high-intensity
11,7,unaltered,seagulls,7,high-intensity
11,8,reverb,rain,5,high-intensity
11,9,reverb,wind,6,low-intensity
11,10,reverb,grunting_and_groaning,4,low-intensity
