listener,listener_trial,reverb_condition,sound_heard,distance_rating,typical_source_intensity
3,22,unaltered,NailsFromBox,6,medium-intensity
3,23,reverb,BicycleFreewheel,4,medium-intensity
3,24,reverb,cash_register,4,control-low-intensity
3,25,reverb,shuffling_cards,6,control-low-intensity
3,26,unaltered,rotary_telephone_dialer,2,control-low-intensity
3,27,reverb,BiteChewApple,6,low-intensity
3,28,reverb,BoilingKettle,5,medium-intensity
3,29,reverb,humming,7,control-low-intensity
3,30,unaltered,Typing,4,low-intensity
3,31,unaltered,jackhammer,5,control-high-intensity
3,32,reverb,thunder,9,control-high-intensity
3,33,reverb,BicycleBell,4,high-intensity
3,34,reverb,bear,6,control-low-intensity
3,35,unaltered,slicing_bread,2,control-low-intensity
3,36,unaltered,car_idling,5,control-low-intensity
3,37,reverb,Velcro,2,medium-intensity
3,38,reverb,finger_tapping,4,control-low-intensity
3,39,unaltered,airplane_taking_off,7,control-high-intensity
3,40,unaltered,kettle_whistling,5,control-low-intensity
3,41,unaltered,vegetable_peeler,2,control-low-intensity
3,42,unaltered,FootstepsInSand,5,low-intensity
3,43,unaltered,computer_startup_sound,6,control-low-intensity
3,44,unaltered,Vacuum,2,high-intensity
3,45,unaltered,HammerNail,5,high-intensity
3,46,unaltered,electric_shaver,4,control-low-intensity
3,47,unaltered,ElectricCanOpener,2,high-intensity
3,48,reverb,PeelingVegetable,6,low-intensity
3,49,unaltered,owl_hooting,7,control-low-intensity
3,50,reverb,cow_mooing,6,control-low-intensity
3,51,reverb,train_warning_bell,7,control-high-intensity
3,52,unaltered,ClankingDishes,5,medium-intensity
3,53,unaltered,crowd_cheering,8,control-high-intensity
3,54,reverb,CompressedAirSpray,5,high-intensity
3,55,reverb,Lawnmower,6,high-intensity
3,56,reverb,PepperGrinder,4,low-intensity
3,57,unaltered,bowling_pins_falling,6,control-low-intensity
3,58,reverb,car_skidding,8,control-low-intensity
3,59,reverb,angry_shouting,6,control-low-intensity
3,60,unaltered,blender,1,control-low-intensity
3,61,unaltered,HandsRubbing,5,low-intensity
3,62,unaltered,CoffeeBeanGrinder,4,high-intensity
